City,Country,Date,Latitude,Longitude,High Temperature (F),Humidity,Cloudiness,Wind Speed
Faya,SA,1568912728,18.39,42.45,80.6,13,20,16.11
Juneau,US,1568912502,58.3,-134.42,53.6,93,90,8.05
Aswan,EG,1568912731,24.09,32.9,102.2,17,0,6.93
Albany,US,1568912440,42.65,-73.75,66.99,39,1,4.7
Ust-Omchug,RU,1568912734,61.13,149.63,32.45,96,99,4.83
Castro,CL,1568912735,-42.48,-73.76,50.0,61,40,12.75
Ferrol,ES,1568912738,43.48,-8.23,72.0,68,20,5.82
Kaitangata,NZ,1568912739,-46.28,169.85,46.0,75,65,3.0
Saint-Augustin,CA,1568912740,45.63,-73.98,69.01,52,75,2.24
Cape Town,ZA,1568912741,-33.93,18.42,66.2,72,0,21.92
Port Alfred,ZA,1568912743,-33.59,26.89,66.0,92,100,10.0
Avarua,CK,1568912474,-21.21,-159.78,69.8,68,93,3.36
Kapaa,US,1568912533,22.08,-159.32,79.0,88,90,4.7
Tema,GH,1568912747,5.66,-0.01,82.4,74,20,11.41
Geraldton,CA,1568912748,49.72,-86.95,71.6,68,75,10.29
Mangrol,IN,1568912750,25.33,76.51,76.01,86,0,4.65
Hailar,CN,1568912751,49.2,119.7,47.39,86,91,9.31
Atuona,PF,1568912752,-9.8,-139.03,80.33,72,73,15.52
Khatanga,RU,1568912754,71.98,102.47,29.93,64,29,7.87
Goderich,CA,1568912468,43.74,-81.71,75.99,57,76,10.54
New Norfolk,AU,1568912756,-42.78,147.06,64.99,76,100,9.17
Yellowknife,CA,1568912757,62.45,-114.38,46.4,87,75,10.29
Punta Arenas,CL,1568912759,-53.16,-70.91,42.8,73,75,25.28
Sfantu Gheorghe,RO,1568912760,44.65,26.83,68.0,37,0,6.93
Puerto Ayora,EC,1568912763,-0.74,-90.35,75.2,78,75,16.11
Thompson,CA,1568912764,55.74,-97.86,55.4,71,20,10.29
Waipawa,NZ,1568912765,-39.94,176.59,35.01,91,1,3.94
South Venice,US,1568912768,27.05,-82.42,88.0,48,1,17.22
Vaini,IN,1568912624,15.34,74.49,74.57,95,100,3.67
Kanniyakumari,IN,1568912771,8.08,77.57,81.05,83,21,16.22
Denpasar,ID,1568912597,-8.65,115.22,77.0,94,20,9.17
Esperance,AU,1568912774,-33.86,121.89,42.8,87,40,6.93
Ushuaia,AR,1568912776,-54.81,-68.31,35.6,93,75,19.46
Narsaq,GL,1568912777,60.91,-46.05,44.6,84,75,4.7
Tuatapere,NZ,1568912779,-46.13,167.69,45.0,92,22,8.23
Nouadhibou,MR,1568912780,20.93,-17.03,77.0,65,0,19.46
Mahebourg,MU,1568912782,-20.41,57.7,71.6,78,75,14.99
Constitucion,MX,1568912783,23.99,-104.67,72.0,60,40,6.93
Ponta do Sol,BR,1568912784,-20.63,-46.0,94.73,14,18,8.97
Butaritari,KI,1568912786,3.07,172.79,84.47,61,1,2.1
East London,ZA,1568912787,-33.02,27.91,69.8,88,75,20.8
Ancud,CL,1568912789,-41.87,-73.83,50.0,61,40,12.75
Saint George,GR,1568912408,39.45,22.34,75.2,69,20,12.75
Rikitea,PF,1568912792,-23.12,-134.97,73.49,89,100,20.89
Guozhen,CN,1568912793,29.3,113.14,67.55,59,0,10.2
Busselton,AU,1568912794,-33.64,115.35,42.01,70,100,17.29
Georgetown,GY,1568912732,6.8,-58.16,84.2,74,75,6.93
Arlit,NE,1568912796,18.74,7.39,100.13,10,9,4.9
Okhotsk,RU,1568912798,59.36,143.24,40.55,67,67,6.64
Pokhara,NP,1568912799,28.21,83.99,52.07,72,1,5.28
Puro,PH,1568912800,13.13,123.76,78.71,87,100,16.64
Sao Joao da Barra,BR,1568912600,-21.64,-41.05,87.8,52,0,11.41
Hermanus,ZA,1568912803,-34.42,19.24,66.0,81,35,1.01
San Patricio,PY,1568912804,-26.98,-56.83,81.59,53,19,1.61
Vardo,US,1568912806,39.62,-77.74,71.01,48,1,6.85
Salinopolis,BR,1568912807,-0.61,-47.36,80.15,82,93,17.49
Liverpool,GB,1568912621,53.41,-2.98,68.0,63,0,3.36
Tres Arroyos,AR,1568912810,-38.38,-60.28,54.77,32,0,18.48
San Andres,PH,1568912811,13.32,122.68,74.57,96,100,2.08
Helena,US,1568912814,46.59,-112.04,54.0,76,75,5.59
Mataura,NZ,1568912815,-46.19,168.86,45.0,92,78,4.81
Margate,AU,1568912817,-43.03,147.26,64.99,76,100,9.17
Boyolangu,ID,1568912818,-8.09,111.9,65.57,94,12,4.54
Lebu,ET,1568912820,8.96,38.73,64.4,72,75,4.7
Noumea,NC,1568912712,-22.28,166.46,73.0,82,0,20.51
Marawi,PH,1568912823,8.0,124.29,75.0,85,100,7.0
Lasa,CY,1568912824,34.92,32.53,80.6,69,0,12.75
Storforshei,NO,1568912826,66.4,14.52,41.0,75,40,8.05
Saltillo,MX,1568912827,25.42,-100.99,88.0,42,5,4.05
Touros,BR,1568912828,-5.2,-35.46,84.2,66,75,17.22
Port Elizabeth,US,1568912830,39.31,-74.98,69.01,52,20,4.7
Dordrecht,NL,1568912831,51.8,4.68,63.0,59,90,6.93
Kingston,JM,1568912807,17.97,-76.79,89.6,59,40,9.17
Tasiilaq,GL,1568912586,65.61,-37.64,35.6,80,90,10.29
Gualaceo,EC,1568912837,-2.89,-78.78,66.2,59,40,4.7
Richards Bay,ZA,1568912838,-28.77,32.06,71.51,84,90,19.53
Huancabamba,PE,1568912839,-5.24,-79.45,67.91,57,69,9.08
Longyearbyen,NO,1568912841,78.22,15.63,33.8,80,75,2.24
Iranshahr,IR,1568912842,27.21,60.69,96.8,8,0,4.7
Hilo,US,1568912844,19.71,-155.08,78.8,69,1,4.7
Vao,EE,1568912845,59.1,26.19,44.33,88,87,3.58
Bredasdorp,ZA,1568912846,-34.53,20.04,66.0,82,100,9.17
